Year_Reference,District,Neighborhood,Value,Birth_Place_Region,Sex
2024,Ciutat Vella,el Raval,33,Eastern Africa,Female
2024,Ciutat Vella,el Raval,27,Eastern Africa,Male
2024,Ciutat Vella,el Raval,14,Middle Africa,Female
2024,Ciutat Vella,el Raval,22,Middle Africa,Male
2024,Ciutat Vella,el Raval,851,Northern Africa,Female
2024,Ciutat Vella,el Raval,1396,Northern Africa,Male
2024,Ciutat Vella,el Raval,12,Southern Africa,Female
2024,Ciutat Vella,el Raval,13,Southern Africa,Male
2024,Ciutat Vella,el Raval,79,Western Africa,Female
2024,Ciutat Vella,el Raval,178,Western Africa,Male
2024,Ciutat Vella,el Raval,358,Caribbean,Female
2024,Ciutat Vella,el Raval,361,Caribbean,Male
2024,Ciutat Vella,el Raval,405,Central America,Female
2024,Ciutat Vella,el Raval,375,Central America,Male
2024,Ciutat Vella,el Raval,3162,South America,Female
2024,Ciutat Vella,el Raval,3060,South America,Male
2024,Ciutat Vella,el Raval,182,Northern America,Female
2024,Ciutat Vella,el Raval,209,Northern America,Male
2024,Ciutat Vella,el Raval,19,Central Asia,Female
2024,Ciutat Vella,el Raval,21,Central Asia,Male
2024,Ciutat Vella,el Raval,207,Eastern Asia,Female
2024,Ciutat Vella,el Raval,173,Eastern Asia,Male
2024,Ciutat Vella,el Raval,2688,Southern Asia,Female
2024,Ciutat Vella,el Raval,5146,Southern Asia,Male
2024,Ciutat Vella,el Raval,3113,South-Eastern Asia,Female
2024,Ciutat Vella,el Raval,2096,South-Eastern Asia,Male
2024,Ciutat Vella,el Raval,229,Western Asia,Female
2024,Ciutat Vella,el Raval,290,Western Asia,Male
2024,Ciutat Vella,el Raval,663,Eastern Europe,Female
2024,Ciutat Vella,el Raval,452,Eastern Europe,Male
2024,Ciutat Vella,el Raval,366,Northern Europe,Female
2024,Ciutat Vella,el Raval,430,Northern Europe,Male
2024,Ciutat Vella,el Raval,9112,Southern Europe,Female
2024,Ciutat Vella,el Raval,9527,Southern Europe,Male
2024,Ciutat Vella,el Raval,757,Western Europe,Female
2024,Ciutat Vella,el Raval,816,Western Europe,Male
2024,Ciutat Vella,el Raval,23,Australia and New Zealand,Female
2024,Ciutat Vella,el Raval,39,Australia and New Zealand,Male
2024,Ciutat Vella,el Raval,15,Not available,Female
2024,Ciutat Vella,el Raval,15,Not available,Male
2024,Ciutat Vella,el Barri Gòtic,13,Eastern Africa,Female
2024,Ciutat Vella,el Barri Gòtic,17,Eastern Africa,Male
2024,Ciutat Vella,el Barri Gòtic,20,Middle Africa,Female
2024,Ciutat Vella,el Barri Gòtic,12,Middle Africa,Male
2024,Ciutat Vella,el Barri Gòtic,441,Northern Africa,Female
2024,Ciutat Vella,el Barri Gòtic,1642,Northern Africa,Male
2024,Ciutat Vella,el Barri Gòtic,8,Southern Africa,Female
2024,Ciutat Vella,el Barri Gòtic,7,Southern Africa,Male
2024,Ciutat Vella,el Barri Gòtic,49,Western Africa,Female
2024,Ciutat Vella,el Barri Gòtic,263,Western Africa,Male
2024,Ciutat Vella,el Barri Gòtic,139,Caribbean,Female
2024,Ciutat Vella,el Barri Gòtic,114,Caribbean,Male
2024,Ciutat Vella,el Barri Gòtic,395,Central America,Female
2024,Ciutat Vella,el Barri Gòtic,252,Central America,Male
2024,Ciutat Vella,el Barri Gòtic,2160,South America,Female
2024,Ciutat Vella,el Barri Gòtic,2077,South America,Male
2024,Ciutat Vella,el Barri Gòtic,183,Northern America,Female
2024,Ciutat Vella,el Barri Gòtic,165,Northern America,Male
2024,Ciutat Vella,el Barri Gòtic,18,Central Asia,Female
2024,Ciutat Vella,el Barri Gòtic,12,Central Asia,Male
2024,Ciutat Vella,el Barri Gòtic,99,Eastern Asia,Female
2024,Ciutat Vella,el Barri Gòtic,73,Eastern Asia,Male
2024,Ciutat Vella,el Barri Gòtic,699,Southern Asia,Female
2024,Ciutat Vella,el Barri Gòtic,7008,Southern Asia,Male
2024,Ciutat Vella,el Barri Gòtic,307,South-Eastern Asia,Female
2024,Ciutat Vella,el Barri Gòtic,175,South-Eastern Asia,Male
2024,Ciutat Vella,el Barri Gòtic,152,Western Asia,Female
2024,Ciutat Vella,el Barri Gòtic,195,Western Asia,Male
2024,Ciutat Vella,el Barri Gòtic,500,Eastern Europe,Female
2024,Ciutat Vella,el Barri Gòtic,362,Eastern Europe,Male
2024,Ciutat Vella,el Barri Gòtic,350,Northern Europe,Female
2024,Ciutat Vella,el Barri Gòtic,367,Northern Europe,Male
2024,Ciutat Vella,el Barri Gòtic,3772,Southern Europe,Female
2024,Ciutat Vella,el Barri Gòtic,3987,Southern Europe,Male
2024,Ciutat Vella,el Barri Gòtic,568,Western Europe,Female
2024,Ciutat Vella,el Barri Gòtic,552,Western Europe,Male
2024,Ciutat Vella,el Barri Gòtic,25,Australia and New Zealand,Female
2024,Ciutat Vella,el Barri Gòtic,31,Australia and New Zealand,Male
2024,Ciutat Vella,el Barri Gòtic,..,Not available,Female
2024,Ciutat Vella,el Barri Gòtic,10,Not available,Male
2024,Ciutat Vella,la Barceloneta,9,Eastern Africa,Female
2024,Ciutat Vella,la Barceloneta,5,Eastern Africa,Male
2024,Ciutat Vella,la Barceloneta,5,Middle Africa,Female
2024,Ciutat Vella,la Barceloneta,..,Middle Africa,Male
2024,Ciutat Vella,la Barceloneta,205,Northern Africa,Female
2024,Ciutat Vella,la Barceloneta,339,Northern Africa,Male
2024,Ciutat Vella,la Barceloneta,8,Southern Africa,Female
2024,Ciutat Vella,la Barceloneta,..,Southern Africa,Male
2024,Ciutat Vella,la Barceloneta,7,Western Africa,Female
2024,Ciutat Vella,la Barceloneta,37,Western Africa,Male
2024,Ciutat Vella,la Barceloneta,82,Caribbean,Female
2024,Ciutat Vella,la Barceloneta,86,Caribbean,Male
2024,Ciutat Vella,la Barceloneta,163,Central America,Female
2024,Ciutat Vella,la Barceloneta,132,Central America,Male
2024,Ciutat Vella,la Barceloneta,1435,South America,Female
2024,Ciutat Vella,la Barceloneta,1253,South America,Male
2024,Ciutat Vella,la Barceloneta,81,Northern America,Female
2024,Ciutat Vella,la Barceloneta,68,Northern America,Male
2024,Ciutat Vella,la Barceloneta,10,Central Asia,Female
2024,Ciutat Vella,la Barceloneta,..,Central Asia,Male
2024,Ciutat Vella,la Barceloneta,33,Eastern Asia,Female
2024,Ciutat Vella,la Barceloneta,31,Eastern Asia,Male
2024,Ciutat Vella,la Barceloneta,142,Southern Asia,Female
2024,Ciutat Vella,la Barceloneta,412,Southern Asia,Male
2024,Ciutat Vella,la Barceloneta,32,South-Eastern Asia,Female
2024,Ciutat Vella,la Barceloneta,23,South-Eastern Asia,Male
2024,Ciutat Vella,la Barceloneta,80,Western Asia,Female
2024,Ciutat Vella,la Barceloneta,82,Western Asia,Male
2024,Ciutat Vella,la Barceloneta,435,Eastern Europe,Female
2024,Ciutat Vella,la Barceloneta,311,Eastern Europe,Male
2024,Ciutat Vella,la Barceloneta,191,Northern Europe,Female
2024,Ciutat Vella,la Barceloneta,194,Northern Europe,Male
2024,Ciutat Vella,la Barceloneta,4075,Southern Europe,Female
2024,Ciutat Vella,la Barceloneta,3781,Southern Europe,Male
2024,Ciutat Vella,la Barceloneta,383,Western Europe,Female
2024,Ciutat Vella,la Barceloneta,351,Western Europe,Male
2024,Ciutat Vella,la Barceloneta,11,Australia and New Zealand,Female
2024,Ciutat Vella,la Barceloneta,22,Australia and New Zealand,Male
2024,Ciutat Vella,la Barceloneta,..,Not available,Female
2024,Ciutat Vella,la Barceloneta,..,Not available,Male
2024,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",12,Eastern Africa,Female
2024,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",15,Eastern Africa,Male
2024,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",8,Middle Africa,Female
2024,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",11,Middle Africa,Male
2024,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",339,Northern Africa,Female
2024,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",508,Northern Africa,Male
2024,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",11,Southern Africa,Female
2024,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",26,Southern Africa,Male
2024,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",31,Western Africa,Female
