Year_Reference,District,Neighborhood,Value,Birth_Place_Region,Sex
1997,Ciutat Vella,el Raval,..,Eastern Africa,Female
1997,Ciutat Vella,el Raval,..,Eastern Africa,Male
1997,Ciutat Vella,el Raval,5,Middle Africa,Female
1997,Ciutat Vella,el Raval,5,Middle Africa,Male
1997,Ciutat Vella,el Raval,441,Northern Africa,Female
1997,Ciutat Vella,el Raval,487,Northern Africa,Male
1997,Ciutat Vella,el Raval,..,Southern Africa,Male
1997,Ciutat Vella,el Raval,22,Western Africa,Female
1997,Ciutat Vella,el Raval,17,Western Africa,Male
1997,Ciutat Vella,el Raval,136,Caribbean,Female
1997,Ciutat Vella,el Raval,45,Caribbean,Male
1997,Ciutat Vella,el Raval,84,Central America,Female
1997,Ciutat Vella,el Raval,43,Central America,Male
1997,Ciutat Vella,el Raval,292,South America,Female
1997,Ciutat Vella,el Raval,277,South America,Male
1997,Ciutat Vella,el Raval,13,Northern America,Female
1997,Ciutat Vella,el Raval,23,Northern America,Male
1997,Ciutat Vella,el Raval,17,Eastern Asia,Female
1997,Ciutat Vella,el Raval,18,Eastern Asia,Male
1997,Ciutat Vella,el Raval,123,Southern Asia,Female
1997,Ciutat Vella,el Raval,392,Southern Asia,Male
1997,Ciutat Vella,el Raval,587,South-Eastern Asia,Female
1997,Ciutat Vella,el Raval,368,South-Eastern Asia,Male
1997,Ciutat Vella,el Raval,8,Western Asia,Female
1997,Ciutat Vella,el Raval,15,Western Asia,Male
1997,Ciutat Vella,el Raval,15,Eastern Europe,Female
1997,Ciutat Vella,el Raval,15,Eastern Europe,Male
1997,Ciutat Vella,el Raval,24,Northern Europe,Female
1997,Ciutat Vella,el Raval,26,Northern Europe,Male
1997,Ciutat Vella,el Raval,16173,Southern Europe,Female
1997,Ciutat Vella,el Raval,14137,Southern Europe,Male
1997,Ciutat Vella,el Raval,148,Western Europe,Female
1997,Ciutat Vella,el Raval,134,Western Europe,Male
1997,Ciutat Vella,el Raval,..,Australia and New Zealand,Female
1997,Ciutat Vella,el Raval,..,Australia and New Zealand,Male
1997,Ciutat Vella,el Barri Gòtic,..,Eastern Africa,Male
1997,Ciutat Vella,el Barri Gòtic,..,Middle Africa,Female
1997,Ciutat Vella,el Barri Gòtic,..,Middle Africa,Male
1997,Ciutat Vella,el Barri Gòtic,104,Northern Africa,Female
1997,Ciutat Vella,el Barri Gòtic,146,Northern Africa,Male
1997,Ciutat Vella,el Barri Gòtic,..,Southern Africa,Female
1997,Ciutat Vella,el Barri Gòtic,..,Southern Africa,Male
1997,Ciutat Vella,el Barri Gòtic,..,Western Africa,Female
1997,Ciutat Vella,el Barri Gòtic,14,Western Africa,Male
1997,Ciutat Vella,el Barri Gòtic,63,Caribbean,Female
1997,Ciutat Vella,el Barri Gòtic,34,Caribbean,Male
1997,Ciutat Vella,el Barri Gòtic,24,Central America,Female
1997,Ciutat Vella,el Barri Gòtic,13,Central America,Male
1997,Ciutat Vella,el Barri Gòtic,103,South America,Female
1997,Ciutat Vella,el Barri Gòtic,139,South America,Male
1997,Ciutat Vella,el Barri Gòtic,21,Northern America,Female
1997,Ciutat Vella,el Barri Gòtic,21,Northern America,Male
1997,Ciutat Vella,el Barri Gòtic,7,Eastern Asia,Female
1997,Ciutat Vella,el Barri Gòtic,9,Eastern Asia,Male
1997,Ciutat Vella,el Barri Gòtic,22,Southern Asia,Female
1997,Ciutat Vella,el Barri Gòtic,67,Southern Asia,Male
1997,Ciutat Vella,el Barri Gòtic,92,South-Eastern Asia,Female
1997,Ciutat Vella,el Barri Gòtic,59,South-Eastern Asia,Male
1997,Ciutat Vella,el Barri Gòtic,..,Western Asia,Female
1997,Ciutat Vella,el Barri Gòtic,8,Western Asia,Male
1997,Ciutat Vella,el Barri Gòtic,5,Eastern Europe,Female
1997,Ciutat Vella,el Barri Gòtic,7,Eastern Europe,Male
1997,Ciutat Vella,el Barri Gòtic,22,Northern Europe,Female
1997,Ciutat Vella,el Barri Gòtic,27,Northern Europe,Male
1997,Ciutat Vella,el Barri Gòtic,6528,Southern Europe,Female
1997,Ciutat Vella,el Barri Gòtic,5834,Southern Europe,Male
1997,Ciutat Vella,el Barri Gòtic,98,Western Europe,Female
1997,Ciutat Vella,el Barri Gòtic,72,Western Europe,Male
1997,Ciutat Vella,el Barri Gòtic,5,Australia and New Zealand,Female
1997,Ciutat Vella,el Barri Gòtic,6,Australia and New Zealand,Male
1997,Ciutat Vella,el Barri Gòtic,..,Not available,Female
1997,Ciutat Vella,el Barri Gòtic,..,Not available,Male
1997,Ciutat Vella,la Barceloneta,..,Middle Africa,Female
