Year_Reference,District,Neighborhood,AEB,Census_Section,Value,Birth_Place,Sex
2002,Ciutat Vella,el Raval,1,1001,228,City of Barcelona,Female
2002,Ciutat Vella,el Raval,1,1001,253,City of Barcelona,Male
2002,Ciutat Vella,el Raval,1,1001,43,Rest of Catalonia,Female
2002,Ciutat Vella,el Raval,1,1001,26,Rest of Catalonia,Male
2002,Ciutat Vella,el Raval,1,1001,185,Rest of Spain,Female
2002,Ciutat Vella,el Raval,1,1001,220,Rest of Spain,Male
2002,Ciutat Vella,el Raval,1,1001,10,Rest of European Union,Female
2002,Ciutat Vella,el Raval,1,1001,19,Rest of European Union,Male
2002,Ciutat Vella,el Raval,1,1001,110,Rest of World,Female
2002,Ciutat Vella,el Raval,1,1001,137,Rest of World,Male
2002,Ciutat Vella,el Raval,1,1001,..,Not available,Female
2002,Ciutat Vella,el Raval,1,1002,267,City of Barcelona,Female
2002,Ciutat Vella,el Raval,1,1002,232,City of Barcelona,Male
2002,Ciutat Vella,el Raval,1,1002,41,Rest of Catalonia,Female
2002,Ciutat Vella,el Raval,1,1002,27,Rest of Catalonia,Male
2002,Ciutat Vella,el Raval,1,1002,193,Rest of Spain,Female
2002,Ciutat Vella,el Raval,1,1002,157,Rest of Spain,Male
2002,Ciutat Vella,el Raval,1,1002,11,Rest of European Union,Female
2002,Ciutat Vella,el Raval,1,1002,17,Rest of European Union,Male
2002,Ciutat Vella,el Raval,1,1002,196,Rest of World,Female
2002,Ciutat Vella,el Raval,1,1002,397,Rest of World,Male
2002,Ciutat Vella,el Raval,2,1003,543,City of Barcelona,Female
2002,Ciutat Vella,el Raval,2,1003,554,City of Barcelona,Male
2002,Ciutat Vella,el Raval,2,1003,55,Rest of Catalonia,Female
2002,Ciutat Vella,el Raval,2,1003,50,Rest of Catalonia,Male
2002,Ciutat Vella,el Raval,2,1003,356,Rest of Spain,Female
2002,Ciutat Vella,el Raval,2,1003,315,Rest of Spain,Male
2002,Ciutat Vella,el Raval,2,1003,20,Rest of European Union,Female
2002,Ciutat Vella,el Raval,2,1003,27,Rest of European Union,Male
2002,Ciutat Vella,el Raval,2,1003,283,Rest of World,Female
2002,Ciutat Vella,el Raval,2,1003,455,Rest of World,Male
2002,Ciutat Vella,el Raval,2,1003,..,Not available,Female
2002,Ciutat Vella,el Raval,2,1004,526,City of Barcelona,Female
2002,Ciutat Vella,el Raval,2,1004,504,City of Barcelona,Male
2002,Ciutat Vella,el Raval,2,1004,74,Rest of Catalonia,Female
2002,Ciutat Vella,el Raval,2,1004,78,Rest of Catalonia,Male
2002,Ciutat Vella,el Raval,2,1004,295,Rest of Spain,Female
2002,Ciutat Vella,el Raval,2,1004,296,Rest of Spain,Male
2002,Ciutat Vella,el Raval,2,1004,29,Rest of European Union,Female
2002,Ciutat Vella,el Raval,2,1004,36,Rest of European Union,Male
2002,Ciutat Vella,el Raval,2,1004,339,Rest of World,Female
2002,Ciutat Vella,el Raval,2,1004,476,Rest of World,Male
2002,Ciutat Vella,el Raval,2,1004,..,Not available,Male
2002,Ciutat Vella,el Raval,3,1005,429,City of Barcelona,Female
2002,Ciutat Vella,el Raval,3,1005,403,City of Barcelona,Male
2002,Ciutat Vella,el Raval,3,1005,57,Rest of Catalonia,Female
2002,Ciutat Vella,el Raval,3,1005,55,Rest of Catalonia,Male
2002,Ciutat Vella,el Raval,3,1005,323,Rest of Spain,Female
2002,Ciutat Vella,el Raval,3,1005,330,Rest of Spain,Male
2002,Ciutat Vella,el Raval,3,1005,24,Rest of European Union,Female
2002,Ciutat Vella,el Raval,3,1005,30,Rest of European Union,Male
