Year_Reference,District,Neighborhood,Census_Section,Import_Euros
2016,Ciutat Vella,el Raval,1,13648
2016,Ciutat Vella,el Raval,2,10044
2016,Ciutat Vella,el Raval,3,10341
2016,Ciutat Vella,el Raval,4,13184
2016,Ciutat Vella,el Raval,5,10479
2016,Ciutat Vella,el Raval,6,12546
2016,Ciutat Vella,el Raval,7,11375
2016,Ciutat Vella,el Raval,8,9273
2016,Ciutat Vella,el Raval,9,11588
2016,Ciutat Vella,el Raval,10,10507
2016,Ciutat Vella,el Raval,11,9298
2016,Ciutat Vella,el Raval,12,12578
2016,Ciutat Vella,el Raval,13,13494
2016,Ciutat Vella,el Raval,14,11792
2016,Ciutat Vella,el Raval,15,12241
2016,Ciutat Vella,el Raval,16,11606
2016,Ciutat Vella,el Raval,17,10704
2016,Ciutat Vella,el Raval,18,11303
2016,Ciutat Vella,el Raval,19,11121
2016,Ciutat Vella,el Raval,20,18169
2016,Ciutat Vella,el Raval,21,17132
2016,Ciutat Vella,el Barri Gòtic,22,21650
2016,Ciutat Vella,el Barri Gòtic,23,18935
2016,Ciutat Vella,el Barri Gòtic,25,16218
2016,Ciutat Vella,el Barri Gòtic,26,15422
2016,Ciutat Vella,el Barri Gòtic,27,15043
2016,Ciutat Vella,el Barri Gòtic,28,15491
2016,Ciutat Vella,el Barri Gòtic,29,13516
2016,Ciutat Vella,el Barri Gòtic,30,13954
2016,Ciutat Vella,el Barri Gòtic,31,14357
2016,Ciutat Vella,la Barceloneta,32,17918
2016,Ciutat Vella,la Barceloneta,33,13714
2016,Ciutat Vella,la Barceloneta,34,14133
2016,Ciutat Vella,la Barceloneta,35,14222
2016,Ciutat Vella,la Barceloneta,36,15193
2016,Ciutat Vella,la Barceloneta,37,14799
2016,Ciutat Vella,la Barceloneta,38,14075
2016,Ciutat Vella,la Barceloneta,39,15889
2016,Ciutat Vella,la Barceloneta,40,16214
2016,Ciutat Vella,la Barceloneta,41,14390
2016,Ciutat Vella,la Barceloneta,42,16440
2016,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",43,21216
2016,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",44,20310
2016,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",45,16393
2016,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",46,16245
2016,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",47,14677
2016,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",48,11952
2016,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",49,16488
2016,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",50,16783
2016,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",51,13429
2016,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",52,20660
2016,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",53,14571
2016,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",54,15793
2016,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",55,19837
2016,Eixample,el Fort Pienc,1,20503
2016,Eixample,el Fort Pienc,2,19634
2016,Eixample,el Fort Pienc,3,23805
2016,Eixample,el Fort Pienc,4,17501
2016,Eixample,el Fort Pienc,5,24141
2016,Eixample,el Fort Pienc,6,24773
2016,Eixample,el Fort Pienc,7,25364
2016,Eixample,el Fort Pienc,8,23584
2016,Eixample,el Fort Pienc,9,22746
2016,Eixample,el Fort Pienc,10,21017
2016,Eixample,el Fort Pienc,11,23213
2016,Eixample,el Fort Pienc,12,18705
2016,Eixample,el Fort Pienc,13,20056
2016,Eixample,el Fort Pienc,14,17041
2016,Eixample,el Fort Pienc,15,19039
2016,Eixample,el Fort Pienc,16,24446
2016,Eixample,el Fort Pienc,17,23264
2016,Eixample,el Fort Pienc,18,24066
2016,Eixample,el Fort Pienc,19,21676
2016,Eixample,el Fort Pienc,20,19563
2016,Eixample,la Sagrada Família,21,20752
2016,Eixample,la Sagrada Família,22,21712
2016,Eixample,la Sagrada Família,23,22178
2016,Eixample,la Sagrada Família,24,19357
2016,Eixample,la Sagrada Família,25,19076
2016,Eixample,la Sagrada Família,26,21189
2016,Eixample,la Sagrada Família,27,22809
2016,Eixample,la Sagrada Família,28,21763
2016,Eixample,la Sagrada Família,29,19556
2016,Eixample,la Sagrada Família,30,17893
2016,Eixample,la Sagrada Família,31,25156
2016,Eixample,la Sagrada Família,32,22657
2016,Eixample,la Sagrada Família,33,21397
