Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,LLOC_NAIX,SEXE
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,168,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,168,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,33,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,29,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,79,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,97,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,43,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,55,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,304,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,332,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,6,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,129,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,134,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,27,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,17,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,58,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,35,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,74,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,78,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,336,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,393,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,6,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,480,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,487,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,153,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,148,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,141,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,169,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,84,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,84,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,805,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,949,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,390,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,381,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,56,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,68,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,132,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,151,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,93,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,146,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,722,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,855,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,6,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,6,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,332,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,298,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,48,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,51,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,103,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,119,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,122,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,110,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,504,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,637,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,6,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,166,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,193,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,31,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,41,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,63,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,64,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,96,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,90,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,383,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,486,5,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,6,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,6,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,199,1,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,267,1,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,36,2,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,35,2,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,72,3,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,68,3,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,79,4,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,73,4,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,446,5,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,728,5,2
