Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,LLOC_NAIX_REGIO,SEXE
2018-01-01,1,Ciutat Vella,1,el Raval,16,1,1
2018-01-01,1,Ciutat Vella,1,el Raval,13,1,2
2018-01-01,1,Ciutat Vella,1,el Raval,6,2,1
2018-01-01,1,Ciutat Vella,1,el Raval,26,2,2
2018-01-01,1,Ciutat Vella,1,el Raval,775,3,1
2018-01-01,1,Ciutat Vella,1,el Raval,1070,3,2
2018-01-01,1,Ciutat Vella,1,el Raval,5,4,1
2018-01-01,1,Ciutat Vella,1,el Raval,9,4,2
2018-01-01,1,Ciutat Vella,1,el Raval,68,5,1
2018-01-01,1,Ciutat Vella,1,el Raval,142,5,2
2018-01-01,1,Ciutat Vella,1,el Raval,302,6,1
2018-01-01,1,Ciutat Vella,1,el Raval,269,6,2
2018-01-01,1,Ciutat Vella,1,el Raval,325,7,1
2018-01-01,1,Ciutat Vella,1,el Raval,274,7,2
2018-01-01,1,Ciutat Vella,1,el Raval,2186,8,1
2018-01-01,1,Ciutat Vella,1,el Raval,2190,8,2
2018-01-01,1,Ciutat Vella,1,el Raval,127,9,1
2018-01-01,1,Ciutat Vella,1,el Raval,151,9,2
2018-01-01,1,Ciutat Vella,1,el Raval,5,10,1
2018-01-01,1,Ciutat Vella,1,el Raval,11,10,2
2018-01-01,1,Ciutat Vella,1,el Raval,223,11,1
2018-01-01,1,Ciutat Vella,1,el Raval,162,11,2
2018-01-01,1,Ciutat Vella,1,el Raval,2270,12,1
2018-01-01,1,Ciutat Vella,1,el Raval,6523,12,2
2018-01-01,1,Ciutat Vella,1,el Raval,3207,13,1
2018-01-01,1,Ciutat Vella,1,el Raval,2256,13,2
2018-01-01,1,Ciutat Vella,1,el Raval,180,14,1
2018-01-01,1,Ciutat Vella,1,el Raval,275,14,2
2018-01-01,1,Ciutat Vella,1,el Raval,522,15,1
2018-01-01,1,Ciutat Vella,1,el Raval,356,15,2
2018-01-01,1,Ciutat Vella,1,el Raval,395,16,1
2018-01-01,1,Ciutat Vella,1,el Raval,403,16,2
2018-01-01,1,Ciutat Vella,1,el Raval,10550,17,1
