Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros
2015,1,Ciutat Vella,1,el Raval,1,12845
2015,1,Ciutat Vella,1,el Raval,2,10442
2015,1,Ciutat Vella,1,el Raval,3,10048
2015,1,Ciutat Vella,1,el Raval,4,13121
2015,1,Ciutat Vella,1,el Raval,5,10579
2015,1,Ciutat Vella,1,el Raval,6,11980
2015,1,Ciutat Vella,1,el Raval,7,10983
2015,1,Ciutat Vella,1,el Raval,8,8816
2015,1,Ciutat Vella,1,el Raval,9,11895
2015,1,Ciutat Vella,1,el Raval,10,9870
2015,1,Ciutat Vella,1,el Raval,11,9676
2015,1,Ciutat Vella,1,el Raval,12,12427
2015,1,Ciutat Vella,1,el Raval,13,13264
2015,1,Ciutat Vella,1,el Raval,14,11866
2015,1,Ciutat Vella,1,el Raval,15,12292
2015,1,Ciutat Vella,1,el Raval,16,11907
2015,1,Ciutat Vella,1,el Raval,17,10858
2015,1,Ciutat Vella,1,el Raval,18,11306
2015,1,Ciutat Vella,1,el Raval,19,10700
2015,1,Ciutat Vella,1,el Raval,20,16765
2015,1,Ciutat Vella,1,el Raval,21,16893
2015,1,Ciutat Vella,2,el Barri Gòtic,22,20695
2015,1,Ciutat Vella,2,el Barri Gòtic,23,18556
2015,1,Ciutat Vella,2,el Barri Gòtic,25,15440
2015,1,Ciutat Vella,2,el Barri Gòtic,26,14513
2015,1,Ciutat Vella,2,el Barri Gòtic,27,14899
2015,1,Ciutat Vella,2,el Barri Gòtic,28,15472
2015,1,Ciutat Vella,2,el Barri Gòtic,29,13345
2015,1,Ciutat Vella,2,el Barri Gòtic,30,13555
2015,1,Ciutat Vella,2,el Barri Gòtic,31,14066
2015,1,Ciutat Vella,3,la Barceloneta,32,16949
2015,1,Ciutat Vella,3,la Barceloneta,33,14309
2015,1,Ciutat Vella,3,la Barceloneta,34,14041
2015,1,Ciutat Vella,3,la Barceloneta,35,14091
2015,1,Ciutat Vella,3,la Barceloneta,36,14992
2015,1,Ciutat Vella,3,la Barceloneta,37,14249
2015,1,Ciutat Vella,3,la Barceloneta,38,13877
2015,1,Ciutat Vella,3,la Barceloneta,39,15699
2015,1,Ciutat Vella,3,la Barceloneta,40,16406
2015,1,Ciutat Vella,3,la Barceloneta,41,13985
2015,1,Ciutat Vella,3,la Barceloneta,42,16272
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,20296
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,19742
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,16188
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,14581
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,14097
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,11739
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,16140
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,15483
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,13290
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,18342
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,14253
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,14662
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,19371
2015,2,Eixample,5,el Fort Pienc,1,20640
2015,2,Eixample,5,el Fort Pienc,2,18935
2015,2,Eixample,5,el Fort Pienc,3,22935
2015,2,Eixample,5,el Fort Pienc,4,17521
2015,2,Eixample,5,el Fort Pienc,5,23533
2015,2,Eixample,5,el Fort Pienc,6,23584
2015,2,Eixample,5,el Fort Pienc,7,25071
2015,2,Eixample,5,el Fort Pienc,8,22354
2015,2,Eixample,5,el Fort Pienc,9,22005
2015,2,Eixample,5,el Fort Pienc,10,21459
2015,2,Eixample,5,el Fort Pienc,11,23238
2015,2,Eixample,5,el Fort Pienc,12,18493
2015,2,Eixample,5,el Fort Pienc,13,18832
2015,2,Eixample,5,el Fort Pienc,14,17475
2015,2,Eixample,5,el Fort Pienc,15,18740
2015,2,Eixample,5,el Fort Pienc,16,23178
2015,2,Eixample,5,el Fort Pienc,17,22726
2015,2,Eixample,5,el Fort Pienc,18,23401
2015,2,Eixample,5,el Fort Pienc,19,21069
2015,2,Eixample,5,el Fort Pienc,20,19633
